review_content,sentiment
broken watch pathako\nit is working anyhow \nbut it is unfare \n,Negative
cute product.....thank you,Positive
Excellent product.,Positive
As expected..,Positive
Good for the price. Its really soft 🙂,Positive
delivery product was so super fast.then the product is also highly product,Positive
best quality 💖thank you,Positive
All time favorite,Positive
good quality,Positive
Bedsheet is same as in photo & beautiful too.,Positive
good.,Positive
I bought large size. it's too small. quality is alright. it doesn't make you too warm.,Negative
Goldstar shoes never dissapoints me. Fits perfectly.,Positive
"800 watt mode does enough to provide warmth for a singlepersonuse. Heats up instantly and is easy to manoeuvre around. What isn't mentioned in the instruction leaflet as well as here in the seller's page is that the heater shuts down automatically as a safety precaution when we suddenly lift it to a higher place (or when moving down). I was quite apprehensive of its functionality at first when this happened but checking out info on other sources, i found about this. Now, let's see how long it will last us.",Negative
Good product for baby's nail trimming.,Positive
hi I received day before yesterday it's not working  I charged 24 hours its not working plz exchanged,Negative
Goldstar shoes never dissapoints me. Fits perfectly.,Positive
built quality very good premium feel ani plug haru yesto majale basxa halaye ni tightly basxa manparyo. thank you..,Positive
Good quality...,Positive
best as this price and shiny looking and sutiable for me,Positive
Good. Seems it last a long time. Let's see.,Positive
delivery before expected date..\nexcellent product as prescribed. loved it.,Positive
good as price.,Positive
delivered a wrong product,Negative
At this price product is good but while shaving beard its not smooth as it mentioned,Neutral
I received  the product  yesterday  but I am very  unsatisfied  with the service because  the picture of the item is very different from that .So I want to change  the product.,Negative
Double sim ko photo dekhayera single sim ko tray,Negative
I just love it😙,Positive
fabulous,Positive
cards are very thin and low quality,Negative
😍,Positive
Babal xa hai you can go for this product,Positive
Exactly what i need. Thank you.,Positive
good product,Positive
finally yo shampoo paye thank you Daraz nice product,Positive
good,Positive
got very cheap. Waiting for rainy season to check its usability,Neutral
euta chai ramro saga package vayara aako cha arko chai vitra soap bar matrai,Neutral
akdam ramro xa I really like this dragon pendent,Positive
Best one yet❤️❤️,Positive
Aiwibi daiper is best for baby😊,Positive
dherai ramro xa kapda...lengh Ali kam xa so thulo height ko girls lai Ali na milna skxa,Positive
Awesome Well Finishing product.,Positive
good as price.,Positive
"I think it is lying the buyer. I ordered the item as same mentioned in picture and name Joyroom brand converter but the package inside was \""Hoco\"" brand item. They should not lie like this. Actually I was searching for \""Joyroom\"" brand item. so, I am not satisfy with the product",Negative
Based on pricing it was not as good as it should be.,Positive
i just love it😍,Positive
completely different product.....,Negative
good one,Positive
good,Positive
It doesn’t work .. what the hell,Negative
Got genuine part.. Great!!,Positive
Haven't tried yet. Hope for the best..,Neutral
"elastic band is bit tight and caused redness, irritation to the baby. Prefer other brands over it.",Negative
beyond expectation.,Positive
Best product at this price.,Positive
Good Quality. satisfied,Positive
Best product at resonable price,Positive
"😍 Loved it, easy to apply 👍🏼",Positive
ekdam thulo vayo. quality ramro dekhinxa.,Positive
I had ordered white but got black,Negative
Good product,Positive
Deliver another black color mouse not as shown in photo. Fake product don't fool the buyer. This is too bad. I hate daraz and seller fooling customer all the time,Negative
Good quality for price🤍,Positive
excellent product,Positive
i want to return it,Negative
Deceiving picture. Its to small.\nEither its a delivery mistake or deliberate.,Negative
I love this light  but yesko charger was not  working   \nBut i love it ❤️ soo nice  product 😙,Positive
Best product with affordable price.  I recommend everyone to buy this product..\nThank you Medicart,Positive
brush was small but cute ❤️,Positive
I love this product and build quality is so good 😇,Positive
expensive compared to product,Negative
"According to the price, it is very good, the packaging is good, it was delivered on time, thank you Daraz",Positive
Good 👍🏻 Good 😊 \nFully satisfied ❤️,Positive
Good one. just grab it,Positive
Excellent cotrise pant with warm polar attached to it from inside. Very happy with the product.,Positive
"Awesome so quick delivery , Thanks",Positive
high price but really good,Positive
"as expected very good, both product and service on time👏👏👏",Positive
great quality and well build perfect for winter..,Positive
Exactly as shown. this is what i exactly wanted. all nude colors. loved the colors,Positive
• authentic product ❤️\n• chat responsive seller❤️\n,Positive
I just love it ❤️,Positive
hope for the best ..,Positive
good,Positive
All of the Baker's Secret products from this vendor are topnotch. I would buy this again.,Positive
aalikati picture ra reality ma xhai varry nai xa product ma but price ko anusar quality thikai xa.,Neutral
I got the wrong shoes of wrong size.,Negative
Good one..you won't regret buying,Positive
Did not like the product. It is not that effective as you would think.,Negative
aru ta ramro lagyo tara fita hai poto ma daykhaya jaso xaina  ani c\nchado purai part haru baira niskiNa thalo,Negative
❤️,Positive
"😍 Loved it, easy to apply 👍🏼",Positive
I loved it. It’s warm and cosy and so pretty. \nSeller were so kind to respond me as needed and help me. Thank you💜,Positive
amazing products according to price 👍👍👍,Positive
cheap and nice,Positive
"I am loving it ,the product is really cool 🤙 if someone is trying to buy go for it",Positive
Buying this much expensive laptops online now seems possible!! I was bit worried if i get the right and sealed pack but with the return policies and the seller timely delivery i was happy with what i got. Still there was no bubble packaging so it would be another hassle if something was wrong inside. Thank you iSure for your service.,Positive
I purchased it after knowing it is Nepali brand and also good quality. Also purchased after seeing Nepali watch face which is in advertisement photos but it is not available. I am very disappointed. Hope so it will be uploaded very soon.,Negative
Disaster on Delivery Service.,Negative
good,Positive
good,Positive
"As I was using Venus over head pump for long time, decided to switch from sobo to Venus air pump, power of supply seems quite high. but switching from low to high mode is not that difference.",Negative
bag ramro lagyo 👌 pic ma dekhako jastai xa,Positive
Good better then expected,Positive
I was sent a CAT 5 cable instead of CAT 5E. The product name is misleading.,Negative
I ordered green bt,Negative
good,Positive
hello daraz This is not the same as I ordered I will return this same,Negative
awesome phone,Positive
Good Quality,Positive
Glad to receive such a jenuen product with excellent quality,Positive
Awesome..  Well packed and love the product,Positive
Definitely you can buy,Positive
good service,Positive
Great! thank you for awesome packing. I love it 👍🏻,Positive
Do not order any item from this shop. I ordered this bottle because of the Life written in it they sent me another smart thermos bottle with temperature sensor not working at all. They scam you don't buy from this seller,Negative
I love it  very good product my kid very happy thank u daraz.,Positive
best shampoo and conditioner till now but its hard to get in stock....if you have hair fall problem go for it you will see the results within  a week,Positive
as expected thanks a lot,Positive
attractive pieces baby is happy playing with them!Thank you,Positive
"Best product 😍 \nUsing this since 3 years. Highly recommend👏🏾\nAbout the product it helped me to reduce my wrinkles, nourishes the skin and removed my spots. It made my skin so firm and soft. It is non sticky and I am loving it.\nAs always they sent me a free cleanser☺️ thank you Rohto and Daraz🤟🏼",Positive
good product,Positive
As marketed! The seller is trustworthy!!!,Positive
aru ta ramro lagyo tara fita hai poto ma daykhaya jaso xaina  ani c\nchado purai part haru baira niskiNa thalo,Negative
good phone at good price,Positive
Best at its price,Positive
good product,Positive
good products,Positive
Excellent very happy,Positive
Good Product\nmid range price best price😍,Positive
got perfectly,Positive
ekdam fit xa bag lagi but I haven't check in water for waterproof,Positive
💯,Positive
Good in quality and warm for your pet in winter.. worth buying it. I'm loving it so do my dog🐕🧣💞,Positive
did not match,Negative
discription ma 2 light balxa lekhne Ani balda yellow matra balxa😡,Negative
Good😍,Positive
good product based on the given price,Positive
Build quality ramro xw🌻,Positive
👍,Positive
Extremely disappointed. Product is completely different.  It wasn't even delivered on time. I don't recommend anyone to order. The service by the seller was the worst.,Negative
best product at resonable price,Positive
"😍 Amazing product, it's kinda tricky for getting used to finger print control but overall a good product.",Positive
everything good but the grip managing cap is stuck anything I can do?,Positive
"Got the item in time,",Positive
Concerned that the lock flaps won't stand up to repeated opening and closing.,Negative
Good one..you won't regret buying,Positive
👍🏻👍🏻,Positive
i didn't get straw on it.. that's bad but overall it's good!,Positive
I like this product 😊,Positive
got this on time just like shown in the picture really enjoyed shopping from you ❤️,Positive
I didn’t  get it it was missing in prsal please check fust and send the parcel 😡😡😡😡,Negative
I had bought this capsule and i loved it 😙😙and delivery was also smooth,Positive
I liked the product,Positive
"All product were in fine condition,",Positive
damaged raixa repement garnu paryohh \n\nline nai aayanaa \n9843557301,Negative
Almost good but not at all.,Neutral
I already paid e sewa .  but courier guys take case amount .,Negative
"Don't go with the picture, product is much worse and different from the one shown in picture. they're simply fooling you.",Negative
i don't get type c charger tomorrow i will return it daraj. 1st time wrong decision is done by you daraj.,Negative
dagg lako fohor kina pathako ?Ali ramro pathauna garo hunxa ho? ki ramro safa linu ko lagi badi paisa Dina Parni ho chya k pathako?,Negative
good product I like it's very nice quality,Positive
Great customer service! Vendor called about sending alternative brand then texted to ask if I wanted blue or black. Arrived flat so they will be easy to store until I am ready to use. Good quality and selection. Highly recommend ordering from this vendor.,Positive
"haven't tried yet, but looks good",Neutral
genuinen pruduct and handy 👌 also fast delivery tq seller,Positive
I loved it 😍,Positive
Don’t buy it’s a scam,Negative
Good product,Positive
Delightful from this product.,Positive
Impressed,Positive
"At least, give reply in the Q&A section or in the CHAT section where question about the product is asked.",Neutral
I love this product but size is too small as I expected..,Positive
Glue that holds Bear's head is already coming off even without use.,Negative
I love it  very good product my kid very happy thank u daraz.,Positive
I had my doubts(packaging and bill)  but  representative from HNP clarified within an hour..   and additionally assured me of lifetime guarantee on the product and they will be happy to assist me in case of any future issue..  \n\nthey seems to take customer satisfaction  seriously  and   resolve any confusion or concern at earliest.\n\nwill be buying from you again soon.,Negative
ekdamai ramro 🥰,Positive
battery 10  min mai sakkincha. plug in garera chaluna pani mildaina rahecha . however good at doing its job.,Positive
"I have order for black color but good received blue color,",Negative
crushed cartons,Negative
"fits perfectly for my 13.3\"" macbook air m1\ngood quality",Positive
different colour different product tori daraz !,Negative
biveler is super fast! 👌👌,Positive
I never regret to use  this product as I already used this one.Very effective for my skin.Love it,Positive
good product,Positive
average product but good battery and fast charging support makes it ok according to its price,Positive
I just love it,Positive
best quality tshirts for price ekdam worth buying,Positive
"Came as expected, feels premium & thankyou for the Quality Product 👌",Positive
❣️,Positive
"Good value for money, hopefully it will last long time",Positive
"Boils water fastt, but just be sure the whole rod is inside the water or else it’ll melt the rubber! Mistake which i did!",Neutral
Best,Positive
Authentic product.,Positive
Bad quality and not attractive as shown in the picture. Sizes are also variable. Very light and no proper sewing. Fucking stupid stuff.,Negative
bad one,Negative
Build quality is satisfactory for the price point. Haven't tested yet. Will update as I use it. The seller was quite responsive. Received quite early.,Neutral
good delivery❤️❤️,Positive
according to price ok.,Positive
ekdam well packed and genuine product...thankyou to the seller and the delivery personnel.. i haven't used the product but I'm ure about the positive outcomes...loved it...5 stars..,Positive
features are not good.I want to return it and buy another one.,Negative
✅✅✅,Positive
big and strong!,Positive
Duplicate shampoo please kasaile nakinnu,Negative
"If the product is not available, why send the wrong product. Completely disappointed",Negative
doesn't fit nor it is fast charging,Negative
awesome product and it's battery life is amazing.,Positive
good,Positive
Disaster on Delivery Service.,Negative
got damaged product but they exchanged it with the other one nice projector worth the price go for it 👍🏼,Positive
good,Positive
delivered a wrong product,Negative
damage product pariyo ma saman firta gardiye,Negative
"Excellent product, nicely packed, quick delivery, 100% recommended 💯",Positive
Best🤭❤️,Positive
got bent at the second day🫤,Negative
I got my package didn't expect to be this good. I love it🙆,Positive
I got with red colour cover but in the picture there is white colour shown...\nfake ta haina ni.....,Negative
I didn't get the primer delivered. I have already paid the amount. please do the necessary.,Negative
As expected from the Goldstar. Great quality and comfortability. Bought on 12.12 at 1942,Positive
Best primer for dry skin I ever got,Positive
good,Positive
Good smell but doest last for long,Neutral
Delivered completely different item. Unsatisfied by service.,Negative
Beautiful 🌿,Positive
best one,Positive
Hello I did order 2. You guys charged for 2  and delivered  one. Can you explain  me how come this?,Negative
"got it today, product is satisfactory but the size is smaller than what is written in the website.",Positive
ekdam ramro...,Positive
Good one. got as expected. but delivery took longer. thanks.,Positive
good quality,Positive
♥️ ♥️ Fully satisfied thanks daraz and look. Com,Positive
I have not got my refund. It is almost 3 months.When will I get my refund?,Negative
"Came with this cute message, I love plum products.. excited to try this out",Positive
got safely thanx,Positive
i love himalayan product.,Positive
Compass doesn’t work. Check the item before sending.,Negative
Good as expected,Positive
Build quality is ok for the price bt blade is not sharp.,Positive
Delivery time is quick. The product is good as mentioned in the picture.,Positive
aru ta ramro lagyo tara fita hai poto ma daykhaya jaso xaina  ani c\nchado purai part haru baira niskiNa thalo,Negative
2nd order bought it for my sister n she loved it.,Positive
got safely nice packaging and thanks for the gift masala chiya,Positive
Cheap quality,Negative
good vibes,Positive
Cracked handle,Negative
Awesome Product❤️\nahile Aayeko bela check gareko thikai chalyo Agari heram kasto rahixa\nalik dhila deliver vayo tara thikai x election ko karan le dhila vako hola\nthank you so much Seller ji\nand Daraj ji. 🤣🤣🤣🤣,Positive
good small item. delivery fee is expensive,Positive
"According to price, product is good. Seller responds well. Received product as shown. There was minor issue with sticthing. Hope seller will take it positively for inspection before delivery. Recommend for buyers!! Peace!!",Positive
Better than expected nicely packed thanks for the gift 🎁,Positive
First and  last pic jasto aaudaina second photo jasto auncha camera mathi ko grey cover na vako..,Negative
Got this heat wrinkle on the blower when used for the first time and I have not used it since I thought it will further damage the device. What could be the problem? Will this be replaced?,Negative
Delivered product was not that I ordered . Order size  was 44 but the delivered product was 43.,Positive
As expected.,Positive
Beautiful i love it thank you,Positive
I had liked pink color but blue color has arrived and items are not match,Negative
"i order 2 piece, i paid for 2 piece.. in the bill provided in the package there is written 2 piece but i only got 1 piece. \n\ni am initiating refund on this product.\neither u refund the price of 1 piece or you deliver me the missing 1 piece. this is very unprofessional behaviour.",Negative
"Good product, received same product as shown in figure.",Positive
"Description say living tex brand but the product isn't that brand. Plus out of 6, 1 item Size is big that's ridiculous. The seller doesn't care about customer. He doesn't reply even the chat just read and left no responce",Negative
"Good product. In shortcut, I will give 7.5 number out of 10.",Positive
good,Positive
dami xa aaile samma 1 months vayo use garako,Positive
Excellent product with good packaging.😊,Positive
best product,Positive
ekdam mitho ramro pareko chha,Positive
arko colour ko vane ko aru po parexa aabaexchabge hunxa ki nai,Neutral
Did not fit. Initiated for return!,Negative
A little bit good,Positive
Build quality was good👍\nfitting in ear was nice 👌\nBass was quit good but not that much I expected\nI love the battery backup of earbuds g\nThe connectivity of earbuds was also nice 👍\nOverall the product was good 👍\nIf you are base lover than this product is specially for u.Colour ni ekdum dammi lago malai.\nBut if you want battery backup than can go for this product. jasto saman socheko thiye tyo vanda far better paye. Thank you ultima.....,Positive
I got Defective Bluetooth headset not working 😰😱😈And unfortunately it worked😱😱,Negative
beautiful as displayed in the picture,Positive
Got a defective product at first but the seller exchanged it with a working one. Good value for money as compared to other humidifiers. Let's see how long it lasts!,Negative
A4 paper size ma aaucha. Edkam ramro cha. Already used some of them. works nice as expected. Also you can select which grit paper you want too.,Positive
Build quality ramro xw🌻,Positive
damm working as I aspected definitely worth it,Positive
"I have consumed Brahmi when I was a teenager. That improved my memory, cognition, analytical and logical skills at a very young age. After a long gap of more than a decade I decided to try it again as I was being forgetful about daily tasks and being very stressful due to work related commitments.\n\nNow coming to the effects. \n\n1. A dose of 500mg is knocking me out in a good way. So I suggest you not to take Brahmi before driving or at least wait for 90 mins. You will feel a bit drowsy when you take the right dosage. But this effect will wear off.\n\n2. Very very relaxed. Like very calm in the head. All the things that bother me have dissipated. Period.\nThe same feeling I have experienced when I took Brahmi as a teenager.\n\n3. Strong memory recall from the third day itself. Feels like my original self.\n\n4. Stiffer erections as it strengthens the nervous system as well. So be careful before giving it to kids. Minimum dosage will be fine.\n\nOverall I am satisfied and recommend Brahmi over Ash",Positive
Daami xa price anusar,Positive
Best🤭❤️,Positive
I want to exchange this bag,Negative
Cable doesn't work. No signal. No data. Nothing. It's a defective piece. Waste of time and money.,Negative
good camera but video quality low,Neutral
bought it in sale 11.11 for 911. value for money product.,Positive
I found very genuine one thank to supplier and delivery group for arrival safely genuine Samsung products,Positive
Don’t like🥺🥺🥺 products,Negative
i ordered the product with 2 USB port. but i received the cheap product without USB port.,Negative
I have ordered two items but just received only one. Where’s my another one?,Negative
Great versatile printer for high throughput use cases.  Printer setup was easy and print quality as well as speed is good enough for my use case.,Positive
Got my order on time … happy with service,Positive
best buy,Positive
i got little hole on the gloves but i will use it \ni mean what can u expect its cheap and Chinese,Negative
i got luffy sanji and zoro i wanted sailor moon 💔💔,Negative
"apapapa k saro heating hune ho mini induction chulo jastai cha ta 😂 jaado ma heater balnai na parne raixa, heating  bahek aru ta ramro xa 😉",Positive
"good quality. liked it \n despite the seller size recommendation 'M'  for 5'4\"", 65 kgs, I went for small size and it fitted me well.",Positive
"finishing is worst part of this trouser, do not recommend it to buy",Negative
Good product from daraz.,Positive
"I find these pair of buds soo INTERESTING so decided to buy one when comes to the sound and quality of this ULTIMA ATOM 320.it's a KILLER stunning Design 🔥 and touch controls are also working 👍🏻 pairing seems more easy and i have used buds on a long run of 4 hours couldn't feel any pain and was quite comfortable ofcourse you find 3 different sizes so choose your comfortable buds and the battery is just LIT 🔥 no need to worry about battery coz it supports ASAP , Call Quality is also fine...",Positive
\nokay usable product for the cost...\nlekheko herna chai light chainchaa but can be seen\nEspecially liked the delivery this time.... fast to the place that was asked to be delivered too...,Positive
has a strong smell \nbut is nice,Positive
Completely scam!!! So disappointed with their service as they sent me a completely different towel.  I ordered the soft printed bath towel but the colour and the product is different.,Negative
I am satisfied with the product but aali Kati cheteko parecha🤌🤌😢,Positive
Good product & Great quality  Product is as good as it seems in the picture. \nQuick Delivery  got the product in a day of order.,Positive
😍,Positive
impressed with the quality,Positive
Half of the package was broken. And 3 sachets were empty. Pathetic packaging.,Negative
good taste and got in time thank you,Positive
All of the Baker's Secret products from this vendor are topnotch. I would buy this again.,Positive
I ordered the navy blue color but received this light black colored trouser.\nQuality is ok for the price.\nBut please correctly deliver what the customer has ordered or provide an accurate picture of the product on the page.,Negative
2/4din use garera review garaula hai,Neutral
Each penny is worth spending for such a wonderful home decor stuff.,Positive
Great!,Positive
"Expected, Fresh and Fast Shipment. Liked much. Thank you seller and daraz.",Positive
"Go ahead and buy it, works like a magic! You just need to be consistent and have patience, I applied it twice a day along with 0.5mm derma roller once a week, within 2weeks i saw results! 10/10",Positive
950 ko product deliver Huda 1065 xa delivery price 115 rs ho?,Negative
everything is good except keyboard sound. \npretty good value for money,Positive
All of the Baker's Secret products from this vendor are topnotch. I would buy this again.,Positive
Guys I highly recommend you guys to not buy product from this store. They sent me different local cheap product. I had ordered cable of joyroom and they sent me cheap cable which does very slow charging. I paid around 1500rs and they sent me 500rs cable. Don’t buy it,Negative
Good,Positive
Good for children.,Positive
dammi lagyo .,Positive
good quality and fast delivery,Positive
good,Positive
Couldn't complain. The shoes are great and feels decently comfy.,Positive
good enough,Positive
"An okay... pasal ma leko Vaya ramrai quality authyo... Purano thotro stock vidayara swastha sanga khelbad garne online Lai kada karbahi garnai parxa, hamile ya Yo Daraaz ko consumer group le. vayana yasto",Negative
I have ordered in yellow color...but delivered in red..so little disappointed,Negative
Gooodddd,Positive
Expected Much Great than other Food items Sellers. Fully Safety and Hygienic Packaging and Wrapping. Liked in every aspect. Next time we will order again.Thank you seller and daraz.,Positive
is large and material is good,Positive
as I expected thank you soo much,Positive
exactly as shown in the picture\nthank you,Positive
I love it,Positive
"Awesome, very fast delivery, so far its working good.",Positive
2 ota order gareko  grey and black L . Grey one ko packaging ni ramro thiyo herda ni it looked better .. black one halka lesser quality ko lagyo grey bhanda… packaging pani thiyena black ma..bhitra white nai brown fur xa,Neutral
Delivered in black colour .,Negative
"A great watch for use!! The voice assistant is very handy and useful !! Just love my new watch 🤩🤩🥰🥰 Shows all the step count and it has also got a flashlight in handy , thank you ultima for such a wonderful watch.Build quality is good,Premium look.\nVery usefull features.The best in price range working and accurate sensors. Real value for money.Promote Nepali brands. Thank you, Ultima!❤️",Positive
Good product.,Positive
"good packaging, okay for the price",Positive
it doesn't filtered the water,Negative
I got headphone splitter instead of minimicrophone splitter.😥,Negative
Duplicate shampoo please kasaile nakinnu,Negative
✅,Positive
Good facial kit,Positive
good product for Chip price,Positive
"Good Display, finger print and speed. worth the money",Positive
Ekdam ramro lagyo jacket yo price ma,Positive
"According to Advertisement it looks similar but not same anyway but this also we need and liked, next time we will again order as shown in ad. Thank you seller and daraz",Positive
ekdam ramro quality ko raixa Ani fit Pani vayo thank you so much☺️ buy more 🔜\n,Positive
I like the product Its really nice,Positive
Ekdem man paryo quality ane ramro 6 thank u so much,Positive
for how Cheep it is I think it's worth it.,Positive
"Good one. Comfortable, waterproof and exactly as shown in the photo.",Positive
gift diyako khusi vyo,Positive
Disappointed ☹️ all in white. I bought coz of the different colors as shown in daraz. Don’t fool customers showing one and sending another. communicate when you don’t have the product as shown in daraz.  Your first priority is customer’s satisfaction.,Negative
Got the item. It was as shown in the picture. 🙌,Positive
image ko vhanda different goods cha,Negative
Herda ramro lageko thoyo but sab bhuwa jiu ma tasine raixa. 😕,Negative
color 3 4 choti vanda ni arkai rakhdinu vayo 🥲. quality looks good.\nupdate: dherai use nai gareko xaina strap loose vayera roll matra hunxa,Negative
Good one.pani tato hume raixa bihan samma.My son liked this for his school.,Positive
got damaged product but they exchanged it with the other one nice projector worth the price go for it 👍🏼,Positive
I ordered green bt,Negative
"fast and safe delivery, thanks",Positive
As expected  very good and well packed,Positive
good product from Xiaomi side,Positive
good and satisfaction,Positive
awesome,Positive
appears to be used one. sole is dirty,Negative
GOOD ONE,Positive
best,Positive
different then ordered,Negative
good Quality product thanks,Positive
I like this 👌☺,Positive
"I'm fooled by the advertisement, though the price is for 4 product but turned out 1. That's cheating... I bought the same product from another vender which includes all the product as advertised in cheaper. \nAdvice for buyers plz always read the reviews as well....",Negative
head massage paxi yesko final touch le heaven pugxa,Positive
it doesn't fit perfectly on my tap,Negative
Haven't tried yet. Hope for the best..,Neutral
Concerned that the lock flaps won't stand up to repeated opening and closing. The rest of the container is good.,Neutral
Doesn't have a manufacture date and M. R. P.,Negative
Color varies from my order.\nI ordered grey but they sent black\n\nI will keep them anyways.🥴🥴🥴,Neutral
earphone baliyo xaina. futne ra chhtney bhaihaalxa,Negative
I got it and it’s really amazing also it’s delivery.,Positive
Good product,Positive
Good,Positive
Expectation vs reality vayo,Negative
I want change this item but no one call me for return.,Negative
fake product,Negative
"Fast delivery, nice packaging, paper quality is good.\nOverall happy with the service!",Positive
"Don't buy! Fake! 1 घण्टा पनी तिक्दैन। thulo Galti gare maile, dekhako vanda arkai perfume pathaye pachi smell ramrai cha vane rakhchu vanera test gare, aba return garna mildaina re. tapai same mistake nagarnu",Negative
excellent packing. thank you,Positive
Bad taste,Negative
Haat chatney swaad xaa ...\n\nvery good ...,Positive
Good product,Positive
Good as expected.,Positive
"Excellent quality,and stretchable. Full value for money. Extremely satisfied!",Positive
good,Positive
best,Positive
120 kg lai hunna dai lai gift dinu paro 😂😂😂,Neutral
good products,Positive
comfortable and decent product,Positive
"1.So bad experiences with daraz, i recieved damage item.\n2. All have cash on deliver  but in my acount there is no cash on deliver option bcz i cancel my order 2 or 3 tymes couse of expensive  than market..",Negative
"glue lako, chutina lako piece raixa duitai😑😑",Negative
Basemark is always best.,Positive
Halka thulo vako vaye ajhai ramro hunthyo milauna sajilo hunthyo.bt Nt bad ramro xa pic jastai same xa aba dhoye quality kasto xa thaha hunxa,Positive
Got my order on time … happy with service,Positive
Expectation vs reality.. picture ma bhanda dherai sano chura jatrai cha....,Negative
good quality,Positive
feels like I have applied lemon drops on my face....thank you,Positive
8 germinate out of 30 seeds not good service,Negative
actually good and well fitted,Positive
best one,Positive
Halka damaged raixa but overall ramro lageyo,Neutral
"be careful guys,... duplicate product paryo hai mero ta....fokat 6000 chuna lounu khoje ra chan....tapai haru na jhukinus..",Negative
doesnot work at all. ekdam naraamro quality of glue,Negative
"I don't know if I got the wrong product but these socks quality is exactly like those 50rs ones which you can buy from any street vendor.\n\nThese socks are terribly thin, and will make your feet sweat within a few hours of wearing them.\nThey're not warm, smelly and sweaty.",Negative
Good quality.,Positive
decent quality,Positive
i was really good,Negative
👍 would recommend,Positive
Comfortable product thank you daraz,Positive
good and genuine product. nicely packed. recommended seller and product,Positive
I love this product,Positive
Bad taste,Negative
awesome with good packaging,Positive
Authentic product.,Positive
according t price it's ok,Positive
good quality really appreciate,Positive
As expected .. thanks..,Positive
great product as expected in best price,Positive
color is different but not so bad next time plz send as same as we choose,Neutral
I got the same color and the sound is quite good I absolutely loved it. 🔥🔥,Positive
it doesn't feel like stone,Negative
good product with danger smell i like it good,Positive
impressive very nice genuine product,Positive
"Best for the music who loves bass,loved it according to the budget .....",Positive
Book thik xa😀,Positive
Dark blue maga ko light blue patha ko cha. quality pani ramro chaina.,Negative
dami x quality!,Positive
good one.,Positive
👍,Positive
"All product were in fine condition,",Positive
Ekdam 3rd class quality lagako 5 days ma yasto bayo please don’t buy  please please yasto 3rd class saman sell na garnu hola,Negative
best product,Positive
Bad taste,Negative
"good speed,works fine value for money so far",Positive
"Great, exactly same as shown and written. Expected Quality and mfg. Date. All the products are 100 % pure and true. Most trusted food company/store/seller: Himalaya great food. Thank you Daraz and Himalaya great food.",Positive
"dammi product, highly recommended",Positive
I got my order thank you so much☺️... satisfied with your product but little bit unsatisfied with packaging overall ilike it,Positive
Didn’t work after few days,Negative
5001000 ko note nai naaatdo raix ta \nLina matrai vayo,Negative
I like it,Positive
I love it 😀,Positive
"2nd bottle, 10/10 recommended!",Positive
5 piece one's again oder,Positive
I loved it\ntq daraz,Positive
Excellent. Exactly as shown and posted. Good quality stuff and reliable seller. Congratulations.,Positive
Beautiful colour than shown. Nice quality,Positive
I love it will be buying more^⁠_⁠^,Positive
can I return 3 pcs it dosn't work well...I already use one pcs,Negative
👍👍,Positive
Good,Positive
"Fake product! Liar seller! Disgrace\nNo pocket, look at the ears! Very disappointed",Negative
"glue lako, chutina lako piece raixa duitai😑😑",Negative
"Ekdum ramro xa, just like shown in the picture. Dami quality.😊😊😊. Everyone can trust this particular seller and can go for it.",Positive
good,Positive
Belt केा चैाडाई ajai alike lamo vhako vhya jhan ramro hunthyo.,Negative
Great quality i played one match and killed  20 enemies in arena ..50 parne  sleves vanda ta dherai ramro ddhago na nikline ra touch smoothly hune khalko raix .total 200 jati thik rate ho delivery free hune ho vane.reccomend all to buy in this price range .i search a lot  but there is no availability of this kind in online platforms ..love it .,Positive
Got my stuff. and got a gift too. thank you ☺☺,Positive
cute product.....thank you,Positive
Don’t like it,Negative
good enough .,Positive
battery ramro cha but overall ramro lagena,Neutral
bag is good and fits perfect for my laptop.\nbest thing was i didn't find blue coloured on the front page but seller i got call if i was interested in other color so i gotwhat i wished. \nsewing ni ramro xa but wished the price to be a lil bit cheaper. none the less if you love your laptop then go for it without a doubt,Neutral
"Great, exactly same as shown and written. Expected Quality and mfg. Date. All the products are 100 % pure and true. Most trusted food company/store/seller: Himalaya great food. Thank you Daraz and Himalaya great food.",Positive
I order 1kg honey but received 2 bottles of 1/2 kg,Negative
Got it but with scratch  inside ☹️🙁😕,Negative
good quality,Positive
Beautiful,Positive
Brought the product to take with me for a trip to India.,Positive
Great,Positive
best,Positive
Bluetooth close,Negative
500 ko jacket hoki 3000 ko yo ???\nexpectation vs reality can be seen clearly in the picture....\nyekdam naramrari fool banaunu vayo😑😑,Negative
Good,Positive
As seen in the photo👍 sound quality also good overall nice product at this price range Recommend,Positive
I love It 💞 derai ramro lagyo \nJay Shree Bholebaba,Positive
as per the photo shown was not delivered but  similar was delivered and thanks seller and thanks daraz for quick delivery,Positive
I was expecting it to be dark green but its fine looks great ✅,Positive
good as price.,Positive
I don't like the that hole 🕳️.,Negative
I always give advice to everyone for shop everything from Vivan enterprises,Positive
Didn't get the exact as shown in picture .,Negative
bit tight,Negative
It dried out my skin and kind of burnt my under eye area when I first used it. Have been using it in intervals of 23 days since then. Haven't felt any specific change yet.,Negative
Colour photo ma herda ra saman arko vayo original foto pathako vaye hunay will return this one sorry,Negative
as expected thanks a lot,Positive
good product I like it's very nice quality,Positive
Excellent,Positive
Daraz is going to cheating Clint we order one item sent me next it is really bad be careful shopping from Daraz,Negative
Bigreko saman pathaidine vane 😕😒,Negative
